naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela 
POMOČ PRI PRODAJI,,"4,48 €/h neto",KOPER,"Trgovec s tehničnim blagom vabi polnoletne osebe, da se pridružijo ekipi za pomoč pri prodaji. Delo v prodaji ponuja priložnost za razvoj kompetenc, ki iz prodajalca naredijo strokovnjaka. Izkušnje s prodajo so zaželene. Če ti je delo s tehničnimi izdelki blizu, se oglasi. Morda si boste všeč. Plačilo je fiksno + stimulativno ter nagrada 10 eur/bruto za oddelano nedeljo.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 305856 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",LJUBLJANA,"Delo v šanku, strežba pijač in priprava prigrizkov. Urna postavka se giblje med 5,50€  in 7,10€ neto. V kolektiv vabijo pridno in zanesljivo strežno osebje, ki se zaveda svojih obveznosti do delodajalca. Iščejo večje število študentov posebej za delo med vikendom, zaradi povečanega obsega dela. Delo poteka v dveh izmenah. Za pridne se najde delo tudi med tednom. Pogoji: urejenost, dobra volja, samoiniciativnost, izkušnje dobrodošle. Veseli bodo vašega klica.", 3 , DLJE ČASA (OBČASNO) , Med vikendom, 305853 , začasno in občasno delo
ASISTENT,,"6,00 €/h neto",LJUBLJANA - CENTER,"Potrebujejo polnoletnega zobnega sistent/a/ko. Delo poteka od ponedeljka do petka. Izkušnje niso potrebne, potrebno je veselje do tovrstnega dela - dela vas priučijo. Pogoj: zdravstvena smer študija. Možnost kasnejše redne zaposlitve. Prijavo pošlji na e-mail.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 305850 , začasno in občasno delo
PRODAJA,DELO NA STOJNICI,"5,00 €/h neto",LJUBLJANA RUDNIK,"Pomoč pri prodaji mobilnih pripomočkov. Pogoji: starost nad 18 let, vestnost in komunikativnost. Delovnik po dogovoru.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305843 , začasno in občasno delo
KONTROLA KAKOVOSTI,,"4,99 €/h neto",LJUBLJANA,"V oddelku mednarodne nabave iščejo sodelavca/ko za kontrolo tekstilnih izdelkov Dormeo blagovne znamke. Ključne naloge vključujejo sodelovanje pri: izvajanju analiz in meritev, pripravi vzorcev, analizi podatkov o kakovosti izdelkov, predlaganju izboljšav, pripravi poročil o kvaliteti izdelkov. Znanja in pričakovanja: izobrazba iz tekstilnega področja, močne komunikacijske sposobnosti v ang. jeziku, dobra usposobljenost za delo v paketu MS Office, sposobnost dela v dinamičnem okolju.", 1 , PO DOGOVORU , Dopoldan, 305842 , začasno in občasno delo
BLAGAJNIK,POMOČ V TRGOVINI,"4,13 €/h neto",MARIBOR,Podjetje potrebuje študenta/tko za delo v trgovini in na blagajni., 1 , DLJE ČASA (OBČASNO) , Izmensko, 305840 , začasno in občasno delo
VODENJE,,PO DOGOVORU,KAMNIK,"Vodja klicnega centra in customer supporta v spletni trgovini, ki je prisotna na evropskih trgih (iskanje kandidatov za klicni center in cusstomer support preko upworka/freelancerja..., poslušanje in vodenje zaposlenih v klicnem centru, organizacija dela, pregledovanje rezultatov, organizacija prevodov... Plačilo je odvisno od izkušenj. Možnost redne zaposlitve. Prijave s CV pošljite na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305837 , začasno in občasno delo
DELO V ORDINACIJI,,PO DOGOVORU,MULJAVA PRI IVANČNI GORICI,Iščejo zobozdravstvenega asistenta/ko za asistiranje v zobni ordinaciji s koncesijo. Pogoja sta starost nad 19 let in izpit B-kategorije. Možnost nadaljnje redne zaposlitve. Prijavo pošlji na elektronski naslov., 1 , DLJE ČASA (OBČASNO) , Izmensko, 305836 , začasno in občasno delo
POMOČ V KUHINJI,,"5,00 €/h neto",LJUBLANA,"Potrebujejo osebo za pomivanje posode. Zagotovljena je malica.  Prijave + CV sprejemajo na e-mail. Lahko tudi pokličete, a le do 15. ure", 2 , DO KONCA MESECA DECEMBRA 2019 , Izmensko, 305834 , začasno in občasno delo
STREŽBA,,"5,92 €/h neto",KRANJ,Pogoja: starost nad 18 let in volja do dela., 2 , DLJE ČASA (OBČASNO) , Izmensko, 305829 , začasno in občasno delo
DELO NA TERENU,DOSTAVA HRANE,"4,50 €/h neto",LJUBLJANA,"Dostava hrane s skuterjem (50 ccm), ob slabem vremenu z avtom. Pogoji: starost nad 20 let, vozniški izpit B kategorije, izkušnje z vožnjo avtomobila ter skuterja, poznavanje Ljubljane in veselje do dela. Delo bo potekalo med tednom in med vikendi. Javite se samo resni in marljivi kadidati. Urnik po dogovoru. Možnost dviga urne postavke. Urna postavka se kasneje lahko dvigne z uspešnostjo.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 305828 , začasno in občasno delo
STREŽBA,DELO V SLAŠČIČARNI,"5,00 €/h neto",KAMNIK,"Podjetje potrebuje osebo za delo v slaščičarni (strežba). Delo je fleksibilno. Plačilo od 5,92 do 7,10 € bruto/h.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305821 , začasno in občasno delo
DELO V PROIZVODNJI,,"5,69 €/h neto",LJUBLJANA,"Mednarodni produkcijski in oblikovalski studio, specializiran za proizvodnjo luksuznega pohištva na področju lepotne industrije, v ekipo vabi nove osebo za pomoč proizvodni delavnici. Pričakujejo pozitivno osebo, ki je ročno spretna, natančna in prilagodljiva. Možnost kasnejšega rednega sodelovanja. Zaželen študent/tka v zaključni fazi smeri arhitektura, strojništvo, elektro ali drugih tehničnih smeri. CV na mail.", 4 , DLJE ČASA (OBČASNO) , Dopoldan, 305813 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"4,99 €/h neto",KOPER,"Za pomoč v šanku potrebujejo polnoletno osebo. Zaželene so izkušnje. Plačilo od 5,90 €/h bruto dalje. Izkušnje niso pogoj.", 1 , PO DOGOVORU , Po dogovoru, 305812 , začasno in občasno delo
SLIKOPLESKARSKA DELA,,"5,92 €/h neto",LJUBLJANA,Pomoč pri slikopleskarskih delih. Zaželene izkušnje in lasten prevoz. Prijave pošljite na sms., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305803 , začasno in občasno delo
DELO NA BENCINSKEM SERVISU,,"4,13 €/h neto",PINCE (LENDAVA),"Pomoč pri prodaji na bencinskem sevisu na avtocesti. Delo poteka v mladem in dinamičnem kolektivu. Nočna bruto urna postavka je 6 €. Pogoj je starost nad 18 let. Zaželeno: komunikativnost, zanesljivost in odgovornost do dela. Pričetek dela je takoj.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305796 , začasno in občasno delo
DELO V PROIZVODNJI,,"5,00 €/h neto",SEŽANA,"Lažje delo v proizvodnji poteka v dveh izmenah - po dogovoru. Dela se lahko priučite, zato ni potrebe po posebnih dodatnih znanjih.", 1 , PO DOGOVORU , Izmensko, 305789 , začasno in občasno delo
SORTIRANJE,,"4,23 €/h neto",LJUBLJANA,"Podjetje potrebuje polnoletne kandidate za delo v sortirnici - sortiranje embalaže. Delovnik je 3 - izmenski, po potrebi so delovni tudi vikendi. Nudijo tudi toplo malico.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 305784 , začasno in občasno delo
POMOČ PRI PRODAJI,,"5,00 €/h neto",VRHNIKA,Pogoj: volja do dela z ljudmi., 1 ," DLJE ČASA (OBČASNO), PO DOGOVORU ", Izmensko, 305782 , začasno in občasno delo
POMOČNIK VZGOJITELJICE/VZGOJITELJA,,"4,13 €/h neto",DOMŽALE OKOLICA,"Potrebujejo osebo za pomoč v skupini  predšolskih otrok. Prednost imajo študenti/ke s končano srednjo vzgojiteljsko šolo ali tisti/e, ki se izobražujejo na predšolski vzgoji.", 1 , PO DOGOVORU , Dopoldan, 305777 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",SLIVNICA,"Podjetje potrebuje osebo za strežbo. Izkušnje so zaželene, niso pa nujno potrebne. Oseba naj bo polnoletna. Pomembno je, da oseba z veseljem opravlja delo, na katerega se prijavlja.", 1 , PO DOGOVORU , Izmensko, 305772 , začasno in občasno delo
POMOČ V KUHINJI,,"5,07 €/h neto",LJUBLJANA CENTER,"Pomoč v kuhinji glavnemu kuharju. S pridobljenimi izkušnjami, ki jih nudijo, lahko postanete samostojni kuhar.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 305770 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",BREZOVICA PRI LJUBLJANI,V prijetno mlado ekipo vabijo študenta ali študentko za delo v strežbi. Delo je po dogovoru. Pogoj je vsaj nekaj izkušenj., 1 ," PO DOGOVORU, DLJE ČASA ", Izmensko, 305769 , začasno in občasno delo
POMOČ V KUHINJI,,"6,00 €/h neto",KUM,Pomoč v kuhinji med vikendi in prazniki., 1 , DLJE ČASA (OBČASNO) , Med vikendom, 305763 , začasno in občasno delo
TEHNIČNA POMOČ,INFORMACIJSKO KOMUNIKACIJSKA DELA,"6,50 €/h neto",PETROVČE,"Tehnična pomoč strankam in vodenje sistemske administracije. Iščejo osebo pri tehnični pomoči strankam in odkrivanju tehničnih napak. Osnovno znanje pri konfiguraciji mreže VPN, delo z Windows Server tehnologijam, poznavanje sistemske konfiguracije Linux in izkušnje pri delu s strankami (npr. potrpežljivost). Pomoč strankam bo zadevala poznavanje produktov podjetja, ki jih bo oseba morala osvojiti.", 1 , PO DOGOVORU , Dopoldan, 305756 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",METLIKA,"Potrebujejo polnoletno osebo za strežbo v lokalu (kava, vino, žgane pijače, cocktaili). Izkušnje niso pogoj, potrebno je veselje do dela z ljudmi. Fleksibilen delovnik.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305754 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"6,00 €/h neto",LJUBLJANA - CENTER,"Strežba hrane in pijače v priznani pizzeriji v centru Ljubljane. Delo se opravlja po dogovoru (med tednom, vikendi, glede na študijske obveznosti). Pogoji: starost nad 18 let, prijaznost, dobrovoljnost, zmožnost timskega dela. Izkušnje so zaželene, niso pa pogoj. Kasneje tudi možnost redne zaposlitve.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 305752 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",LJUBLJANA - CENTER,"V lokalu v centru mesta iščejo pomoč v strežbi. Delo je dvoizmensko, večinoma pomoč potrebujejo v popoldanskih urah in čez vikend. Zaželene so izkušnje v strežbi. Pokličite jih.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 305749 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",LJUBLJANA ŠIŠKA,"Podjetje išče osebo za strežbo pijače v dnevnem baru na prijetni lokaciji. Iščejo: prijazno, komunikativno, marljivo in odgovorno osebo, ki jo veseli delo z ljudmi. Pogoji: osnovno znanje angleškega in srbskega/hrvaškega jezika. Zaželene izkušnje v strežbi pijač. Ponujajo: redno plačilo, fleksibilen urnik, urejene delovne razmere, možnost kasnejše zaposlitve.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305737 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,00 €/h neto","ROŽNA DOLINA, LJUBLJANA","Iščejo študenta za strežbo hrane in pijače, skrb za čistočo, po navodilu delodajalca.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 305729 , začasno in občasno delo
ASISTENT,DELO V AMBULANTI,"6,00 €/h neto",KRŠKO,"Zobni asistent. Delo zajema asistiranje zobozdravnikom, komunikacijo s pacienti, vpisovanje v kartoteko, pripravo delovnega mesta, vodenje evidenc in druga sorodna dela. Možnost kasnejše zaposlitve.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305723 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,60 €/h neto",LJUBLJANA RUDNIK,"Potrebujejo študenta/-tko za pomoč pri prodaji in svetovanju v trgovini z modnimi oblačili. Delo je dvoizmensko in zelo fleksibilno, primerno za osebo, ki potrebuje dodatni honorar ob študiju. Vikendi so vključeni. Začetna urna postavka je od 5,44 € bruto dalje, vse do 5,92 € bruto ob nedeljah. V kolikor te delo z modo veseli in potrebuješ izkušnjo, se prijavi na e-mail ali na telefon.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305722 , začasno in občasno delo
DELO V SKLADIŠČU,,"4,22 €/h neto",LJUBLJANA,"Potrebujejo polnoletno osebo za pomoč v skladišču, opravljanju lažjih fizičnih del ter vnos podatkov v interni informacijskim sistem. Zaželene so izkušnje, niso pa pogoj. Nudijo prilagodljiv delovnik, glede na študijske obveznosti. Poleg urne postavke nudijo tudi topel obrok. Prijave sprejemajo na mail.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305720 , začasno in občasno delo
POMOČ V KUHINJI,,"5,00 €/h neto",LJUBLJANA,"Prijazen kolektiv išče polnoletne, simpatične sodelavce za pomoč v kuhinji, opravljanje lažjih kuharskih opravil. Urna postavka se giblje med 5,92 in 6,51 € bruto.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 305714 , začasno in občasno delo
DELO NA RECEPCIJI,,"4,65 €/h neto",LJUBLJANA,"Za delo na recepciji podjetje omogoča fleksibilen delovnik, redno plačilo in odlično timsko vzdušje v mladem in zagnanem kolektivu. Pogoji: starost nad 19 let, izkušnje pri delu z ljudmi in aktivno znanje vsaj enega tujega jezika. Prijave in CV sprejemajo na e-mail.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 305712 , začasno in občasno delo
BLAGAJNIK,POLNJENJE POLIC IN BLAGAJNIK,"4,13 €/h neto",KRANJ,Drogerija potrebuje polnoletne osebe za delo na blagajni in polnjenje polic.Fleksibilen delovnik., 3 , DLJE ČASA (OBČASNO) , Izmensko, 305711 , začasno in občasno delo
DIGITALNI MARKETING,,"9,50 €/h neto",BREZOVICA PRI LJUBLJANI,"V večji organizaciji s preko 40 zaposlenimi razpisujejo dodatno delovno mesto na področju digitalnega marketinga. Oseba bo prevzela nov projekt in bo delovala na področjih pisanja vsebin (članki, oglasi), in izvedbe oglaševanja na digitalnih kanalih. Iščejo ambiciozno osebo z željo po učenju. Plačilo na urno postavko, kasneje tudi nagrade. Delo na visokopotencialnem projektu v prijetnem okolju!", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305703 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",KRANJ,"Pomoč v strežbi v prenovljeni kavarni/slaščičarni v nakupovalnem centru. Pogoja sta urejenost in prijaznost. Zaželeno, da si iz okolice Kranja in da imaš izkušnje pri pripravi kave. Urnik dela po dogovoru, glede na študijske obveznosti. Predvsem potrebujejo pomoč ob vikendih. Ob dobrem delu tudi možnost višje urne postavke", 2 , DLJE ČASA (OBČASNO) , Izmensko, 305697 , začasno in občasno delo
STREŽBA,,"5,70 €/h neto",LJUBLJANA,Za delo v dopoldanskem in popoldanskem času potrebujejo več oseb za strežbo pijače. Popoldansko delo je plačano več kot dopoldansko. Urnik je tedenski in se piše po željah študentov. Nakazila so na 14.dni za opravljeno delo. Zaželene so izkušnje. Prošnje za delo sprejemajo na e-mail., 5 , DLJE ČASA (OBČASNO) , Izmensko, 305693 , začasno in občasno delo
POMOČ V STREŽBI,,"6,00 €/h neto",LJUBLJANA,"Za delo predvsem v nočnem času potrebujejo osebje za pobiranje praznih kozarcev, smeti ... Za to delo ne potrebuješ izkušenj, samo željo do dela. Prijave sprejemajo na email naslov.", 5 , DLJE ČASA (OBČASNO) , Po dogovoru, 305692 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",MARIBOR,"Strežba v prijetni hotelski kavarni. Pogoji: urejena, simpatična in odgovorna oseba.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 305688 , začasno in občasno delo
TRŽENJE,,PO DOGOVORU,NOVA GORICA IN OKOLICA,"Delo poteka na terenu (iskanje potencialnih strank) in občasno v  pisarni. Delo je fleksibilno - se vedno prilagodijo tudi tvojim študijskim obveznostim. Predznanje ni potrebno, saj boste vso potrebno znanje pridobili na izobraževanju. Če te veseli delo z ljudmi, si odprt za nova znanja in si želiš dolgoročnega sodelovanja pošlji prijavo z življenjepisom na elektronski naslov ali pokliči za razgovor.Možnost dobrega zaslužka.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 305687 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,00 €/h neto",LJUBLJANA - CENTER,"V svoj kolektiv vabijo komunikativno osebo za strežbo zdrave prehrane. Delo poteka od ponedeljka do petka, vikendi so prosti. Urna postavka se giblje med 5,92 do 8,28 € bruto. Prijavo s kontaktno številko pošlji na e-mail. Možnost kasnejše redne zaposlitve", 3 , DLJE ČASA (OBČASNO) , Izmensko, 305686 , začasno in občasno delo
TRŽENJE,,PO DOGOVORU,OBALA Z OKOLICO,"Delo poteka na terenu (iskanje potencialnih strank) in občasno v  pisarni. Delo je fleksibilno - se vedno prilagodijo tudi tvojim študijskim obveznostim. Predznanje ni potrebno, saj boste vso potrebno znanje pridobili na izobraževanju. Če te veseli delo z ljudmi, si odprt za nova znanja in si želiš dolgoročnega sodelovanja pošlji prijavo z življenjepisom na elektronski naslov ali pokliči za razgovor.Možnost dobrega zaslužka.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 305685 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,48 €/h neto",KRANJ,"Vodilni ponudnik infokomunikacijskih rešitev išče osebo za delo kakovostnika v proizvodnji. Delo obsega zagotavljanje kakovosti na obstoječih izdelkih (spremljanje, analiziranje, predlogi za izboljšave in optimizacije procesov, priprava poroči), skrb za izvajanje preventivnih in korektivnih ukrepov, reševanje problematike neustreznega materiala, vodenje reklamacij kupca in priprava 8D poročil, sodelovanje pri presojah s strani kupcev in presojah s strani neodvisnih institucij.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305681 , začasno in občasno delo
STROKOVNO DELO,,"4,48 €/h neto",KRANJ,"Vodilni ponudnik infokomunikacijskih rešitev išče osebo za delo operaterja tehnoloških strojev. Delo obsega odpravljanje napak v procesu izdelave produkta, odpravljanje zastojev na strojih, vizualni pregled izdelkov, testiranje visokotehnoloških izdelkov. Prijavo pošlji na e-mail.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305680 , začasno in občasno delo
DELO V KUHINJI,PRIPRAVA HRANE,"4,73 €/h neto",MARIBOR ZRKOVCI,"Delo v restavraciji s hitro prehrano. Delovni čas je fleksibilen. Plačilo ob praznikih in v nočnem času znaša 7,20 € bruto/h. Podjetje nudi poleg urne postavke tudi pijačo. Zainteresirani, pokličite ali pa se v restavraciji kar osebno oglasite.", 10 , MINIMALNO 6 MESECEV , Po dogovoru, 305676 , začasno in občasno delo
DELO V KUHINJI,PRIPRAVA HRANE,"4,73 €/h neto",MARIBOR TRŽAŠKA,"Delo v restavraciji s hitro prehrano. Delovni čas je fleksibilen. Plačilo ob praznikih in v nočnem času znaša 7,20 € bruto/h. Podjetje nudi poleg urne postavke tudi pijačo. Zainteresirani, pokličite ali pa se v restavraciji kar osebno oglasite.", 10 , MINIMALNO 6 MESECEV , Po dogovoru, 305675 , začasno in občasno delo
DELO V KUHINJI,PRIPRAVA HRANE,"4,73 €/h neto",MARIBOR TEZNO,"Delo v restavraciji s hitro prehrano. Delovni čas je fleksibilen. Plačilo ob praznikih in v nočnem času znaša 7,20 € bruto/h. Podjetje nudi poleg urne postavke tudi pijačo. Zainteresirani pokličite ali pa se v restavraciji kar osebno oglasite.", 10 , MINIMALNO 6 MESECEV , Po dogovoru, 305674 , začasno in občasno delo
DELO V KUHINJI,PRIPRAVA HRANE,"4,73 €/h neto",MARIBOR EUROPARK,"Delo v restavraciji s hitro prehrano. Delovni čas je fleksibilen. Plačilo ob praznikih znaša 7,20 € bruto/h. Podjetje nudi poleg urne postavke tudi pijačo. Zainteresirani pokličite ali pa se v restavraciji kar osebno oglasite.", 10 , MINIMALNO 6 MESECEV , Po dogovoru, 305673 , začasno in občasno delo
KLICNI CENTER,,"4,22 €/h neto",LJUBLJANA,"Odhodno klicanje strank, preverjanje zadovoljstva, svetovanje in prodaja telekomunikacijskih storitev. Plačilo: 5 € bruto/uro začetna postavka, z možnostjo stimulacije do 8 € bruto/uro. Prijava s CVjem po mailu, obvezno s pripisom: Delo v KC KAMPANJE LJ. Zahtevana znanja/veščine: prodajne veščine (so zaželene, niso pa pogoj), komunikacijske sposobnosti in veščine vztrajnosti.", 4 , DLJE ČASA (OBČASNO) , Po dogovoru, 305664 , začasno in občasno delo
