naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa 
STREŽBA,SPODNJA HAJDINA PRI PTUJU, 1 , Po dogovoru, začasno in občasno delo, 304891 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje potrebuje polnoletno, vestno in komunikativno osebo za delo v strežbi v mirnem in prijetnem lokalu zraven športnega igrišča. Delovni čas je po dogovoru in potrebi, se prilagodijo tudi vašemu prostemu času. Obljubljajo tudi stimulacijo. Pogoj: veselje do dela s strankami. Če oseba ni doma iz okolice, dobi povrnjene potne stroške.","5,00 €/h neto"
STREŽBA,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 304890 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Lokal potrebuje prijazno, komunikativno in odgovorno osebo za strežbo. Delo poteka od ponedeljka do petka. Pogoj je starost nad 18 let in izkušnje v strežbi.","5,00 €/h neto"
ČIŠČENJE,ORMOŽ, 1 , Dopoldan, začasno in občasno delo, 304886 ," DLJE ČASA (OBČASNO), PO POTREBI ",ČIŠČENJE,,"Podjetje potrebuje polnoletno in zanesljivo osebo za čiščenje prostorov na železniški postaji. Delo poteka ob ponedeljkih, sredah in petkih v dopoldanskih urah.","5,07 €/h neto"
STREŽBA,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 304884 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Strežba pijače, toplih napitkov in prigrizkov v kavarni. Pogoji: izkušnje s strežbo, komunikativnost, urejenost in redoljubnost.","5,00 €/h neto"
POMOČ V STREŽBI,BOŠTANJ, 2 , Dopoldan, začasno in občasno delo, 304876 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Potrebujejo pomoč v strežbi v kava baru, izkušnje niso pogoj.","4,13 €/h neto"
ELEKTROTEHNIČNA DELA,"SLOVENIJA, TEREN", 2 , Po dogovoru, začasno in občasno delo, 304871 ," DLJE ČASA (OBČASNO), PO POTREBI ",ELEKTROTEHNIČNA DELA,POMOČ PRI SERVISU,"Podjetje potrebuje polnoletni, vestni, natančni in zanesljivi osebi za pomoč pri servisiranju strojev in naprav, ki se uporabljajo v živilski panogi. Gre za terensko delo. Pogoji; izpit B kategorije, lasten prevoz, znanje nemškega in/ali angleškega jezika, st. izobrazbe; V, VI, VII,  ter smer šolanja; mehanik, elektro ali strojnik. Interesenti naj pokličejo na kontakt podjetja.",PO DOGOVORU
KOMERCIALNA DELA,LJUBLJANA - RUDNIK, 2 , Dopoldan, začasno in občasno delo, 304869 , DLJE ČASA (OBČASNO) ,KOMERCIALNA DELA,,"Podjetje potrebuje osebo za prodajo, trženje in marketing komercialnih in industrijskih kompresorjev ter prodajno podporo in trženje nadzornih sistemov za komprimiran zrak. Pogoj je odlično znanje angleškega jezika.","6,34 €/h neto"
STREŽBA,ZAPOGE, 3 , Izmensko, začasno in občasno delo, 304864 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Komunikativnost, prijaznost. Izkušnje so zaželene, termin dela je prilagodljiv. Pogoj je starost nad 18 let.","6,50 €/h neto"
STREŽBA,LITIJA, 1 , Izmensko, začasno in občasno delo, 304856 , DLJE ČASA (OBČASNO) ,STREŽBA,,Strežba v prijetnem lokalu. Pogoj je starost nad 18 let.,"6,00 €/h neto"
STREŽBA,LJUBLJANA CENTER, 3 , Po dogovoru, začasno in občasno delo, 304845 , DLJE ČASA (OBČASNO) ,STREŽBA,,"V novi kavarni iščejo prijazno, komunikativno osebo, ki jo veseli delo v strežbi. Zaželena končana srednja gostinska šola, starost nad 18 let. Izkušnje zaželene, niso pa pogoj. Nedelje in prazniki prosto.Prošnje z življenjepisom pošljite na e- naslov.","6,00 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA  ŠENTVID, 2 , dopoldan, začasno in občasno delo, 304838 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,VNOS PODATKOV V RAČUNALNIK,"Vaše naloge bodo obsegale: administracija internih sistemov (CRM, ERP …), odpravljanje tehničnih napak in sodelovanju pri razvoju internih sistemov, pridobivanje, urejanje in vnos podatkov o podjetjih, projektih, produktih in cenikih, priprava navodil in ostale dokumentacije za uporabnike, testiranje in optimizacija uporabniške izkušnje, podpora uporabnikom.","4,50 €/h neto"
STREŽBA HRANE IN PIJAČE,LJUBLJANA, 4 , Izmensko, začasno in občasno delo, 304835 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,"Podjetje išče urejene, resne in izkušene študente/ke za delo v strežbi. Urna postavka je odvisna od usposobljenosti in izkušenosti.","7,00 €/h neto"
PROJEKTIRANJE,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 304812 , DLJE ČASA ,PROJEKTIRANJE,,"Ekipa išče študenta/študentko elektro smeri pri projektiranju inštalacij v objektih.  Delo obsega: pomoč elektro projektantu pri izdelavi načrtov v programu AutoCAD, vrisovanje elementov po popisu-individualne rešitve, vodenje dokumentacije povezane s projektantskim delom, ogledi na terenu skupaj z projektantom, izdelava popisov za razpisno dokumentacijo. Od kandidata pričakujejo: študij elektrotehnike, poznavanje osnov AutoCAD-a, MS offic-a, vozniški izpit B kategorije.","5,24 €/h neto"
POLNJENJE POLIC,PRESERJE, 2 , Izmensko, začasno in občasno delo, 304803 , DLJE ČASA (OBČASNO) ,POLNJENJE POLIC,,"Iščejo osebe za delo na blagajni, polnjenje polic, urejanje oddelkov ...","4,65 €/h neto"
MASER,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 304797 , DLJE ČASA (OBČASNO) ,MASER,,"Iščejo študente fizioterapije ali študente, kateri imajo vsaj 2 leti izkušenj na področju masaž...",PO OPRAVLJENI STORITVI
FIZIČNA DELA,LJUBLJANA RUDNIK, 3 , Dopoldan, začasno in občasno delo, 304786 , DLJE ČASA (OBČASNO) ,FIZIČNA DELA,,"Podjetje išče več oseb za pomoč pri prevzemu blaga. Dela se samo med tednom, vikendi so dela prosti.","4,22 €/h neto"
STREŽBA,PTUJ, 1 , Po dogovoru, začasno in občasno delo, 304784 ," DLJE ČASA (OBČASNO), PO POTREBI ",STREŽBA,,"Podjetje potrebuje polnoletno, odgovorno, zanesljivo, komunikativno in vestno osebo za delo v strežbi prijetnega lokala v starem mestnem jedru Ptuja. Delovni čas je po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja, ali se osebno oglasijo v lokalu","4,13 €/h neto"
POMOČ V STREŽBI,MARIBOR, 2 , Po dogovoru, začasno in občasno delo, 304767 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Podjetje išče pridne študente/ke za delo v hotelski restavraciji v centru mesta. Pogoj je starost nad 18 let. Zaželene so izkušnje. Plačilo: 5,92 - 7,10 € bruto/h.","5,00 €/h neto"
STREŽBA,LJUBLJANA - ROŽNA DOLINA, 1 , Izmensko, začasno in občasno delo, 304766 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Potrebujejo polnoletno osebo za pomoč v strežbi študentskega bara. Delo poteka dopoldan in popoldan, pričetek po dogovoru.","4,50 €/h neto"
POMOČ V KUHINJI,LJUBLJANA CITYPARK, 4 , Po dogovoru, začasno in občasno delo, 304762 , DLJE ČASA (OBČASNO) ,POMOČ V KUHINJI,,"Čiščenje kuhinj, področij za pripravo hrane in področij za strežbo, pomoč kuharjem in vodjem kuhinj pri pripravi hrane (umivanje, lupljenje, sekanje, rezanje, merjenje in mešanje sestavin), razpakiranje in shranjevanje zalog v hladilnikih, omarah in drugih področjih za skladiščenje, pomivanje posode in kuhinjskih pripomočkov ter njihovo zlaganje, priprava, kuhanje, praženje in segrevanje preprostih sestavin hrane.","5,05 €/h neto"
POSPEŠEVANJE PRODAJE,"NOVO MESTO, KRŠKO, BREŽICE", 1 , Po dogovoru, začasno in občasno delo, 304760 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,,"Potrebujejo osebo za pospeševanje prodaje (zlaganje blaga v trgovinah, urejanje prodajnega prostora, postavljanje stojal, urejanje promo materialov...). Pogoj je lasten prevoz. Kilometrina je plačana po 0,20 €/km.","4,13 €/h neto"
BLAGAJNIK,LJUBLJANA CITYPARK, 4 , Po dogovoru, začasno in občasno delo, 304759 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,STREŽBA,"Delo v strežbi in blagajniška dela na mestu strežbe, dajanje informacij o ponudbi, izdajanje pijač, napitkov in hrane, skrb za čistočo in urejenost delovne enote, ob koncu delovnega dne izdelava točnega obračuna prodanih artiklov in trgovskega blaga.","5,05 €/h neto"
DELO V SKLADIŠČU,LJUBLJANA-RUDNIK, 2 , Izmensko, začasno in občasno delo, 304758 , DLJE ČASA (OBČASNO) ,DELO V SKLADIŠČU,,"Delo v skladišču tekstila. Delovnik je fleksibilen (popoldan, dopoldan + vikendi). Ob nedeljah je plačilo 7€ br./h. Podjetje nudi tudi šolanje uporabe SAP programa. Prijave sprejemajo na e-mail. Pogoj: dobro znanje slovenskega jezika.","4,50 €/h neto"
ČIŠČENJE,IZOLA, 1 , Dopoldan, začasno in občasno delo, 304743 , PO DOGOVORU ,ČIŠČENJE,,"Čiščenje poslovnih prostorov v  CTD Izola; zdravstveni prostori (laboratorij, prostor za odvzem krvi, ambulanta, izdaja) in nezdravstvenih prostorov (pisarne, dežurne sobe, jedilnica, hodnik). Študent/ka se usposobi pred pričetkom dela. Strežba krvodajalske malice ob dneh, ko se izvaja krvodajalska akcija; torek četrtek in petek. Študent/ka se usposobi pred pričetkom dela.","5,92 €/h neto"
STREŽBA,KRANJ, 2 , Po dogovoru, začasno in občasno delo, 304738 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje išče osebi za pomoč v strežbi. Delo bo obsegalo delo na blagajni, skrb za čistočo, pospravljanje servirnih pladnjev, pripravo solatnega in sadnega bara ter popisovanje zalog.","5,07 €/h neto"
DELO NA TERENU,LJUBLJANA - PO SLOVENIJI, 1 , Dopoldan, začasno in občasno delo, 304734 , PO DOGOVORU ,DELO NA TERENU,,"Zavod potrebuje polnoletne osebe za fizično pomoč terenski ekipi pri prenosu medicinske opreme, transportu, sortiranju, pomoč pri izvajanju krvodajalskih akcij. Delo poteka na območju celotne Slovenije, izhodišče je vedno Ljubljana. Pogoji: lasten prevoz, ročne spretnosti, fizična moč, zanesljivost in resnost. Urna postavka je odvisna od zahtevnosti dela (dnevno 3 ure fizičnega dela plačano po 8€/bruto, ostalo delo  5 €/bruto).","4,22 €/h neto"
DELO NA RECEPCIJI,LJUBLJANA BEŽIGRAD, 1 , Izmensko, začasno in občasno delo, 304732 , DLJE ČASA (OBČASNO) ,DELO NA RECEPCIJI,TURISTIČNE STORITVE,"Iščejo osebo za delo na recepciji: sprejemanje in potrjevanje rezervacij, priprava ponudb za goste, sprejem gostov ob prihodu in predstavitev hotela, posredovanje različnih informacij o storitvah v hotelu, turističnih znamenitostih, prireditvah. Priprava in izstavitev računov, pospravljanje sob in priprava zajtrkov. Poznavanje WIN REZ programa in Booking-ni pa pogoj.","4,70 €/h neto"
DELO V PEKARNI,LJUBLJANA, 5 , Izmensko, začasno in občasno delo, 304727 , DLJE ČASA (OBČASNO) ,DELO V PEKARNI,,"Pakiranje pekovskih izdelkov in ostala pomožna dela. Nočno delo je plačano 6,18 €/h bruto. Za nočno delo pogoj 18 let. Prijava na mail. Kontaktirajo samo izbrane kandidate.","4,75 €/h neto"
VADITELJ,VRHNIKA, 1 , Popoldan, začasno in občasno delo, 304726 , SEZONA 2019/20 ,VADITELJ,,Pomoč pri vadbi v programu mlajših akrobatov. Vadba bo potekala predvidoma dvakrat na teden ob torkih in četrtkih popoldan.,"6,76 €/h neto"
DELO V PROIZVODNJI,LJUBLJANA, 4 , Izmensko, začasno in občasno delo, 304725 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,Pranje in čiščenje slaščičarskih pripomočkov in ostala pomožna dela. Prijava na mail. Kontaktirajo samo izbrane kandidatre.,"5,22 €/h neto"
ČIŠČENJE,LJUBLJANA, 3 , Dopoldan, začasno in občasno delo, 304724 , DLJE ČASA (OBČASNO) ,ČIŠČENJE,DELO V PRALNICI,Delo v pralnici transportne embalaže. Prijava na mail. Kontaktirajo samo izbrane kandidatre.,"5,22 €/h neto"
DELO V PROIZVODNJI,LJUBLJANA, 2 , Dopoldan, začasno in občasno delo, 304717 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,"Podjetje vabi v svojo ekipo osebo za pomoč v proizvodnji medicinskih naprav. Delo zajema sestavljanje proizvodov, pakiranje in podobno. Zaželene so ročne spretnosti, natančnost, zanesljivost in prilagodljivost. Prijavo s pripisom: sestavljalec/ka, pošljite na e-naslov. Zaželena prijava z življenjepisom in delovnimi izkušnjami. Višina urne postavke se lahko spreminja po dogovoru.","4,65 €/h neto"
STREŽBA,PODČETRTEK, 1 , Po dogovoru, začasno in občasno delo, 304712 , PO DOGOVORU ,STREŽBA,,V kolektiv vabijo osebo za pomoč v strežbi.,PO DOGOVORU
DELO Z OTROKI,DOMŽALE, 1 , Popoldan, začasno in občasno delo, 304711 , DLJE ČASA (OBČASNO) ,DELO Z OTROKI,,"Iščejo študenta germanistike ali ruščine za poučevanje tujega jezika skupine manjših predšolskih otrok (2-3) na igriv, zabaven, dinamičen način. Delo poteka 1x tedensko v popoldanskem času. Plačilo po dogovoru. CV in izkušnje na elektronski naslov.",PO DOGOVORU
POMOČ PRI PRODAJI,MARIBOR, 1 , Izmensko, začasno in občasno delo, 304698 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,Pomoč pri prodaji v prodajalni s čevlji. Pogoj je razpoložljivost. Delovnik je od ponedeljka do petka.,"4,13 €/h neto"
ANKETIRANJE,"ZASAVJE, POSAVSKA REGIJA", 2 , Po dogovoru, začasno in občasno delo, 304690 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
POLNJENJE POLIC,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 304686 , DLJE ČASA (OBČASNO) ,POLNJENJE POLIC,,Delo v trgovini s športno opremo (polnjenje polic in prevzem blaga).,"4,13 €/h neto"
RAČUNOVODSKA DELA,LJUBLJANA ŠENTVID, 1 , Dopoldan, začasno in občasno delo, 304682 , DLJE ČASA (OBČASNO) ,RAČUNOVODSKA DELA,,"Podjetje išče marljivo osebo za delo v računovodski pisarni. Nudijo možnost kasnejše redne zaposlitve. Podjetje nudi tudi možnost povračila stroškov malice in prevoza. Zaželene izkušnje z uporabo programo Opal ali Vasco, znanje MS Office. Prednost imajo kandidati upravne ali ekonomske smeri študija, srednje šole. Prijave sprejemajo na mail, poleg dodajte življenjepis.","5,07 €/h neto"
DELO V KUHINJI,ŠKOFJA LOKA, 1 , Dopoldan, začasno in občasno delo, 304675 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,"Zaželene izkušnje. Delovnik po dogovoru s podjetjem, občasno, po potrebi.","6,00 €/h neto"
FIZIČNA DELA,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 304659 , DLJE ČASA (OBČASNO) ,FIZIČNA DELA,ZLAGANJE,"Zlaganje eko sadja in zelenjave v zabojčke. Delo bo potekalo le ob sredah, od 10. ure dalje. Pogoji: zanesljivost, natančnost in marljivost. Prijave sprejemajo na e-mail.","4,80 €/h neto"
ANKETIRANJE,PREKMURJE, 2 , Po dogovoru, začasno in občasno delo, 304652 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
STREŽBA,CELJE, 1 , Izmensko, začasno in občasno delo, 304650 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za delo in pomoč v strežbi. Izkušnje so zaželene. Dela se v dopoldanskem in popoldanskem času, oz. po dogovoru in potrebi. Pogoj je starost nad 18 let.  Interesenti naj pokličejo na kontakt podjetja","5,00 €/h neto"
ANKETIRANJE,KOROŠKA, 2 , Po dogovoru, začasno in občasno delo, 304648 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
ANKETIRANJE,DOLENJSKA, 2 , Po dogovoru, začasno in občasno delo, 304647 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
POMOČ V TRGOVINI,NAKLO, 1 , Izmensko, začasno in občasno delo, 304645 , DLJE ČASA (OBČASNO) ,POMOČ V TRGOVINI,DELO NA BLAGAJNI,"Iščejo polnoletno osebo za delo na blagajni in polnjenje polic. Plačilo: med tednom 6 €/h bruto, ob nedeljah pa 7 €/h bruto.","5,07 €/h neto"
BLAGAJNIK,DOMŽALE, 1 , Izmensko, začasno in občasno delo, 304644 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,Trgovsko podjetje potrebuje polnoletno osebo za delo na blagajni ter za pomoč na svežem oddelku. Delovnik je izmenski.,"5,92 €/h neto"
STREŽBA,ANKARAN, 2 , Po dogovoru, začasno in občasno delo, 304643 , DLJE ČASA (OBČASNO) ,STREŽBA,,Strežba. Pogoj je starost nad 18 let.,"6,50 €/h neto"
DELO V SKLADIŠČU,ZAGORJE OB SAVI, 1 , Dopoldan, začasno in občasno delo, 304640 , OBČASNA POMOČ ,DELO V SKLADIŠČU,,"Podjetje išče kandidata/ko za občasno pomoč v skladišču, skeniranje  in nalaganje paketov, ... Pogoj je starost nad 18 let.","4,13 €/h neto"
ANKETIRANJE,NOTRANJSKO KRAŠKA REGIJA, 2 , Po dogovoru, začasno in občasno delo, 304639 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
ANKETIRANJE,GORIŠKA, 2 , Po dogovoru, začasno in občasno delo, 304638 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
ANKETIRANJE,"KOPER, IZOLA PIRAN", 2 , Po dogovoru, začasno in občasno delo, 304636 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
ANKETIRANJE,CELJE IN OKOLICA, 2 , Po dogovoru, začasno in občasno delo, 304635 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
ANKETIRANJE,MARIBOR IN OKOLICA, 2 , Po dogovoru, začasno in občasno delo, 304634 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
ANKETIRANJE,"DOMŽALE, KAMNIK IN OKOLICA", 2 , Po dogovoru, začasno in občasno delo, 304633 , 2 DO 3 MESECE ,ANKETIRANJE,,"Terensko anketiranje po podjetjih oz.poslovnih subjektih. Pogoj sta starost nad 18 let in izkušnje, zaželen je lasten prenosnik. Uvajanje bo potekalo v Ljubljani, potni stroški za prihod na uvajanje bodo povrnjeni. Anketa traja 20 do 25 minut. Pošlji kratko prijavo z izkušnjami na e-naslov.",9 € BRUTO/ANKETO
